Date,Open,High,Low,Close,Volume
01/09/2024,"49.44","49.46","49.05","49.29","13,625,240"
01/08/2024,"49.38","49.99","49.15","49.92","15,119,720"
01/05/2024,"49.40","50.47","49.29","49.92","15,074,810"
01/04/2024,"48.82","49.86","48.77","49.28","15,917,480"
01/03/2024,"49.09","49.09","48.32","48.68","21,653,561"
01/02/2024,"49.05","49.76","48.82","49.33","14,915,980"
12/29/2023,"49.35","49.58","49.21","49.22","11,733,580"
12/28/2023,"49.14","49.65","49.09","49.48","9,872,634"
12/27/2023,"49.41","49.57","49.15","49.33","12,536,730"
12/26/2023,"49.16","49.67","49.03","49.64","8,856,695"
12/22/2023,"49.66","49.86","49.09","49.18","10,450,410"
12/21/2023,"49.62","49.83","49.13","49.45","11,127,690"
12/20/2023,"49.83","50.57","49.29","49.34","20,481,529"
12/19/2023,"49.67","50.32","49.31","50.09","20,556,400"
12/18/2023,"50.41","50.48","49.53","49.66","20,531,711"
12/15/2023,"50.10","50.77","49.92","50.31","44,099,219"
12/14/2023,"48.44","50.55","48.44","50.51","41,115,352"
12/13/2023,"46.50","47.78","46.35","47.76","26,549,109"
12/12/2023,"45.94","46.76","45.81","46.47","19,787,051"
12/11/2023,"45.90","46.22","45.57","46.00","21,116,910"
12/08/2023,"45.36","46.34","45.12","46.10","20,238,410"
12/07/2023,"44.79","45.44","44.65","45.40","18,787,830"
12/06/2023,"44.80","45.25","44.43","44.50","18,923,830"
12/05/2023,"44.95","44.97","44.41","44.49","14,531,730"
12/04/2023,"44.71","45.33","44.52","45.12","13,424,150"
12/01/2023,"44.51","45.24","44.38","45.02","18,116,070"
11/30/2023,"43.81","44.75","43.48","44.59","23,247,539"
11/29/2023,"43.69","44.14","43.63","43.78","16,745,990"
11/28/2023,"42.97","43.45","42.79","43.37","15,332,880"
11/27/2023,"42.64","43.03","42.52","43.02","15,714,990"
11/24/2023,"42.80","43.11","42.73","42.92","5,287,200"
11/22/2023,"42.66","42.83","42.40","42.78","11,862,200"
11/21/2023,"42.64","42.73","42.15","42.60","16,078,380"
11/20/2023,"42.86","42.95","42.51","42.79","10,370,250"
11/17/2023,"42.83","42.99","42.44","42.96","13,893,920"
11/16/2023,"42.82","42.96","41.99","42.53","16,931,420"
11/15/2023,"42.07","43.03","42.07","42.84","17,268,131"
11/14/2023,"41.50","42.38","41.46","42.08","20,183,770"
11/13/2023,"40.74","41.06","40.53","40.77","12,159,670"
11/10/2023,"40.63","40.95","40.36","40.89","14,707,400"
11/09/2023,"41.30","41.38","40.27","40.40","14,006,480"
11/08/2023,"41.07","41.19","40.43","40.98","19,418,760"
11/07/2023,"41.18","41.20","40.74","41.04","13,796,900"
11/06/2023,"41.79","41.79","41.15","41.34","15,148,570"
11/03/2023,"41.17","41.86","41.07","41.62","16,147,460"
11/02/2023,"39.74","40.54","39.39","40.51","19,998,529"
11/01/2023,"39.96","39.98","39.29","39.61","19,850,330"
10/31/2023,"39.64","39.81","39.24","39.77","11,919,160"
10/30/2023,"39.10","39.59","38.69","39.43","14,141,860"
10/27/2023,"39.38","39.41","38.62","38.76","13,582,820"
10/26/2023,"39.02","39.98","38.98","39.65","15,480,250"
10/25/2023,"39.07","39.21","38.58","39.03","13,849,040"
10/24/2023,"39.62","39.83","39.24","39.28","15,097,800"
10/23/2023,"40.26","40.38","39.42","39.48","13,785,820"
10/20/2023,"41.05","41.09","39.94","40.27","17,498,900"
10/19/2023,"41.48","42.22","41.16","41.18","16,120,340"
10/18/2023,"41.70","41.94","41.35","41.53","16,053,150"
